idx,dir,f12,seq,plen,b0,d0,enc,dec
1,OUT,-1471614835,1,8,0,77,000000000a000000,4db8a85447b8a854
2,OUT,-898991692,2,8,0,77,000000000c000000,4db8a85441b8a854
3,OUT,389010188,3,8,205,128,cdc9006c55003663,8071a83818b89e37
4,OUT,237988806,4,8,202,135,cae1006c55000964,8759a83818b8a130
5,OUT,-747978370,5,31,203,134,cb29006c55005871ff673656ce570778cd550e78cc531864ce673656675568,8691a83818b8f025b2df9e0283efaf2c80eda62c81ebb03083df9e022aedc0
6,OUT,-1320662969,6,31,200,133,c826006c5500587e146c3656315c0778325e0e7833581864316c3656695573,859ea83818b8f02a59d49e027ce4af2c7fe6a62c7ee0b0307cd49e0224eddb
7,OUT,1812849407,7,31,201,132,c922006c5500587a2a7036563340077830420e7831441864337036566d557f,849aa83818b8f02e67c89e027ef8af2c7dfaa62c7cfcb0307ec89e0220edd7
8,OUT,-2092353069,8,31,214,155,d63d006c55005865397436563444077837460e78364018643474365672558c,9b85a83818b8f03174cc9e0279fcaf2c7afea62c7bf8b03079cc9e023fed24
9,OUT,1577882475,9,31,215,154,d737006c5500586f59783656384807783b4a0e783a4c18643878365678559a,9a8fa83818b8f03b14c09e0275f0af2c76f2a62c77f4b03075c09e0235ed32
10,OUT,1009654354,10,31,212,153,d430006c550058686a7c36563f4c07783c4e0e783d4818643f7c36567f55a9,9988a83818b8f03c27c49e0272f4af2c71f6a62c70f0b03072c49e0232ed01
11,OUT,-513036054,11,31,213,152,d5c8006c550058906c80365625b0077826b20e7827b41864258036568755b9,9870a83818b8f0c421389e026808af2c6b0aa62c6a0cb03068389e02caed11
12,OUT,-127203296,12,31,210,159,d2df006c55005887978436562ab4077829b60e7828b018642a8436569055ca,9f67a83818b8f0d3da3c9e02670caf2c640ea62c6508b030673c9e02dded62
13,OUT,623813272,13,31,211,158,d3d5006c5500588d8388365612b8077811ba0e7810bc1864128836569a55dc,9e6da83818b8f0d9ce309e025f00af2c5c02a62c5d04b0305f309e02d7ed74
14,OUT,1191979937,14,31,208,157,d0ea006c550058b2988c36561dbc07781ebe0e781fb818641d8c3656a555ef,9d52a83818b8f0e6d5349e025004af2c5306a62c5200b03050349e02e8ed47
15,OUT,-1706458855,15,31,209,156,d1fe006c550058a6f090365607a0077804a20e7805a4186407903656b15503,9c46a83818b8f0f2bd289e024a18af2c491aa62c481cb0304a289e02fcedab
16,OUT,-1670780152,16,8,222,147,de9e006c55001bbe,9326a83818b8b3ea
17,OUT,1093419440,17,8,223,146,dfec006c55001bcc,9254a83818b8b398
18,OUT,588171401,18,271,220,145,dc42006c54006fdc5a9c36561bad0e611cdf066069ad07636ad803655a9c36565a9c36565a9c36565a9c36565a9c36565a9c36565a9c36565a9c36565a9c3656,91faa83819b8c78817249e025615a6355167ae342415af372760ab3117249e0217249e0217249e0217249e0217249e0217249e0217249e0217249e0217249e02
19,OUT,-28614095,19,41,221,144,dd8f006c55000aca68a0365668a0365668a0365668a0365668a0365668a0365668a0365668a03656fe,9037a83818b8a29e25189e0225189e0225189e0225189e0225189e0225189e0225189e0225189e02b3
20,OUT,-414459141,20,8,218,151,da98006c550008fc,9720a83818b8a0a8
21,OUT,974024771,21,9,219,150,db69006c56000b0f28,96d1a8381bb8a35b65
22,OUT,1479342458,22,8,216,149,d8ed006c56000a21,9555a8381bb8a275
23,OUT,-2056694846,23,17,217,148,d9cc006c5600413caab83656aa4ec9a9a7,9474a8381bb8e968e7009e02e7f661fdea
24,OUT,1781369070,24,8,166,235,a61b006c5600424a,eba3a8381bb8ea1e
25,OUT,-1217912234,25,8,167,234,a716006c56007660,eaaea8381bb8de34
26,OUT,-716526737,26,12,164,233,a4c9006c56004173e6bc3656,e971a8381bb8e927ab049e02
27,OUT,135201239,27,8,165,232,a58c006c5600778f,e834a8381bb8dfdb
28,OUT,286243101,28,8,162,239,a2cb006c56000ca8,ef73a8381bb8a4fc
29,OUT,-867560539,29,8,163,238,a3f2006c56000cc2,ee4aa8381bb8a496
30,OUT,-1368876388,30,9,160,237,a0db006c560008dc1c,ed63a8381bb8a08851
31,OUT,1932341284,31,8,161,236,a1fb006c560035f9,ec43a8381bb89dad
32,OUT,-1574416706,32,8,174,227,ae56006c57003116,e3eea8381ab89942
33,OUT,2137908230,33,8,175,226,afa2006c57003234,e21aa8381ab89a60
34,OUT,491744575,34,8,172,225,ac6b006c57003153,e1d3a8381ab89907
35,OUT,-1073035385,35,29,173,224,ada0006c570040662f1ec9a9d0e93656d01fc9a92fe13656d0e03656c6,e018a8381ab8e83262a661fd9d519e029da761fd62599e029d589e028b
36,OUT,-653623475,36,8,170,231,aab4006c57001994,e70ca8381ab8b1c0
