idx,dir,f12,seq,plen,b0,d0,enc,dec
1,OUT,-1471614835,1,8,0,77,000000000a000000,4db8a85447b8a854
2,OUT,-898991692,2,8,0,77,000000000c000000,4db8a85441b8a854
3,OUT,389010188,3,8,205,128,cdc5007c5500366f,807da82818b89e3b
4,OUT,237988806,4,8,242,191,f2f5007c55000970,bf4da82818b8a124
5,OUT,-747978370,5,31,243,190,f33d007c55005865ffc7ff56cef7ce78cdf5c778ccf3d164cec7ff56735568,be85a82818b8f031b27f5702834f662c804d6f2c814b7930837f57023eedc0
6,OUT,-1320662969,6,31,240,189,f03a007c5500586214ccff5631fcce7832fec77833f8d16431ccff56755573,bd82a82818b8f036597457027c44662c7f466f2c7e4079307c74570238eddb
7,OUT,1812849407,7,31,241,188,f136007c5500586e2ad0ff5633e0ce7830e2c77831e4d16433d0ff5679557f,bc8ea82818b8f03a676857027e58662c7d5a6f2c7c5c79307e68570234edd7
8,OUT,-2092353069,8,31,246,187,f631007c5500586939d4ff5634e4ce7837e6c77836e0d16434d4ff567e558c,bb89a82818b8f03d746c5702795c662c7a5e6f2c7b587930796c570233ed24
9,OUT,1577882475,9,31,247,186,f7cb007c5500589359d8ff5638e8ce783beac7783aecd16438d8ff5684559a,ba73a82818b8f0c7146057027550662c76526f2c7754793075605702c9ed32
10,OUT,1009654354,10,31,244,185,f4c4007c5500589c6adcff563fecce783ceec7783de8d1643fdcff568b55a9,b97ca82818b8f0c8276457027254662c71566f2c7050793072645702c6ed01
11,OUT,-513036054,11,31,245,184,f5dc007c550058846ce0ff5625d0ce7826d2c77827d4d16425e0ff569355b9,b864a82818b8f0d0215857026868662c6b6a6f2c6a6c793068585702deed11
12,OUT,-127203296,12,31,250,183,fad3007c5500588b97e4ff562ad4ce7829d6c77828d0d1642ae4ff569c55ca,b76ba82818b8f0dfda5c5702676c662c646e6f2c65687930675c5702d1ed62
13,OUT,623813272,13,31,251,182,fbe9007c550058b183e8ff5612d8ce7811dac77810dcd16412e8ff56a655dc,b651a82818b8f0e5ce5057025f60662c5c626f2c5d6479305f505702ebed74
14,OUT,1191979937,14,31,248,181,f8fe007c550058a698ecff561ddcce781edec7781fd8d1641decff56b155ef,b546a82818b8f0f2d55457025064662c53666f2c5260793050545702fced47
15,OUT,-1706458855,15,31,249,180,f9f2007c550058aaf0f0ff5607c0ce7804c2c77805c4d16407f0ff56bd5503,b44aa82818b8f0febd4857024a78662c497a6f2c487c79304a485702f0edab
16,OUT,-1670780152,16,8,254,179,feea007c55001bca,b352a82818b8b39e
17,OUT,1093419440,17,8,255,178,fff8007c55001bd8,b240a82818b8b38c
18,OUT,588171401,18,271,252,177,fc7e007c54006fe05afcff561bcdc7611cbfcf6069cdce636ab8ca655afcff565afcff565afcff565afcff565afcff565afcff565afcff565afcff565afcff56,b1c6a82819b8c7b41744570256756f35510767342475663727006231174457021744570217445702174457021744570217445702174457021744570217445702
19,OUT,-28614095,19,41,253,176,fd93007c55000ad66800005768000057680000576800005768000057680000576800005768000057c7,b02ba82818b8a28225b8a80325b8a80325b8a80325b8a80325b8a80325b8a80325b8a80325b8a8038a
20,OUT,-414459141,20,8,226,175,e26c007c56000b08,afd4a8281bb8a35c
21,OUT,974024771,21,9,227,174,e37d007c56000b1bf3,aec5a8281bb8a34fbe
22,OUT,1479342458,22,8,224,173,e0e1007c56000a2d,ad59a8281bb8a279
23,OUT,-2056694846,23,17,225,172,e1b8007c56004148aa180057aaeeffa8de,ac00a8281bb8e91ce7a0a803e75657fc93
24,OUT,1781369070,24,8,230,171,e607007c56004256,abbfa8281bb8ea02
25,OUT,-1217912234,25,8,231,170,e71a007c5600766c,aaa2a8281bb8de38
26,OUT,-716526737,26,12,228,169,e43d007c56004187e61c0057,a985a8281bb8e9d3aba4a803
27,OUT,135201239,27,8,229,168,e598007c5600779b,a820a8281bb8dfcf
28,OUT,286243101,28,8,234,167,ead7007c56000cb4,a76fa8281bb8a4e0
29,OUT,-867560539,29,8,235,166,ebfe007c56000cce,a646a8281bb8a49a
30,OUT,-1368876388,30,9,232,165,e8ef007c560008e8e5,a557a8281bb8a0bca8
31,OUT,1932341284,31,8,233,164,e907007c57003405,a4bfa8281ab89c51
32,OUT,-1574416706,32,8,238,163,ee62007c57003122,a3daa8281ab89976
33,OUT,2137908230,33,8,239,162,efd6007c57003240,a26ea8281ab89a14
34,OUT,491744575,34,8,236,161,ec67007c5700315f,a1dfa8281ab8990b
35,OUT,-1073035385,35,29,237,160,edac007c5700406a2fbeffa8d0490057d0bfffa82f410057d04000578f,a014a8281ab8e83e620657fc9df1a8039d0757fc62f9a8039df8a803c2
36,OUT,-653623475,36,8,146,223,9280007c570019a0,df38a8281ab8b1f4
37,OUT,72340981,37,27,147,222,933b007c57004fd10e4a0057c4b7d387b7bbb5a00f4a0057c257b8,de83a8281ab8e78543f2a803890f7bd3fa031df442f2a8038fef10
38,OUT,1718443212,38,12,144,221,907e007c57006de1304e0057,ddc6a8281ab8c5b57df6a803
