idx,dir,f12,seq,plen,b0,d0,enc,dec
1,OUT,-1471614835,1,8,0,77,000000000a000000,4db8a85447b8a854
2,OUT,-898991692,2,8,0,77,000000000c000000,4db8a85441b8a854
3,OUT,389010188,3,8,205,128,cdc5007c5500366f,807da82818b89e3b
4,OUT,237988806,4,8,206,131,cef5007c55000970,834da82818b8a124
5,OUT,-747978370,5,31,207,130,cf3d007c55005865ff97f356cea7c278cda5cb78cca3dd64ce97f356735568,8285a82818b8f031b22f5b02831f6a2c801d632c811b7530832f5b023eedc0
6,OUT,-1320662969,6,31,192,141,c03a007c55005862149cf35631acc27832aecb7833a8dd64319cf356755573,8d82a82818b8f03659245b027c146a2c7f16632c7e1075307c245b0238eddb
7,OUT,1812849407,7,31,193,140,c136007c5500586e2aa0f3563390c2783092cb783194dd6433a0f35679557f,8c8ea82818b8f03a67185b027e286a2c7d2a632c7c2c75307e185b0234edd7
8,OUT,-2092353069,8,31,194,143,c231007c5500586939a4f3563494c2783796cb783690dd6434a4f3567e558c,8f89a82818b8f03d741c5b02792c6a2c7a2e632c7b287530791c5b0233ed24
9,OUT,1577882475,9,31,195,142,c3cb007c5500589359a8f3563898c2783b9acb783a9cdd6438a8f35684559a,8e73a82818b8f0c714105b0275206a2c7622632c7724753075105b02c9ed32
10,OUT,1009654354,10,31,196,137,c4c4007c5500589c6aacf3563f9cc2783c9ecb783d98dd643facf3568b55a9,897ca82818b8f0c827145b0272246a2c7126632c7020753072145b02c6ed01
11,OUT,-513036054,11,31,197,136,c5dc007c550058846cb0f3562580c2782682cb782784dd6425b0f3569355b9,8864a82818b8f0d021085b0268386a2c6b3a632c6a3c753068085b02deed11
12,OUT,-127203296,12,31,198,139,c6d3007c5500588b97b4f3562a84c2782986cb782880dd642ab4f3569c55ca,8b6ba82818b8f0dfda0c5b02673c6a2c643e632c65387530670c5b02d1ed62
13,OUT,623813272,13,31,199,138,c7e9007c550058b183b8f3561288c278118acb78108cdd6412b8f356a655dc,8a51a82818b8f0e5ce005b025f306a2c5c32632c5d3475305f005b02ebed74
14,OUT,1191979937,14,31,248,181,f8fe007c550058a698bcf3561d8cc2781e8ecb781f88dd641dbcf356b155ef,b546a82818b8f0f2d5045b0250346a2c5336632c5230753050045b02fced47
15,OUT,-1706458855,15,31,249,180,f9f2007c550058aaf0c0f35607f0c27804f2cb7805f4dd6407c0f356bd5503,b44aa82818b8f0febd785b024a486a2c494a632c484c75304a785b02f0edab
16,OUT,-1670780152,16,8,250,183,faea007c55001bca,b752a82818b8b39e
17,OUT,1093419440,17,8,251,182,fbf8007c55001bd8,b640a82818b8b38c
18,OUT,588171401,18,8,252,177,fcc7007c55001be7,b17fa82818b8b3b3
19,OUT,-28614095,19,271,253,176,fd6e007c54006ff068d0f35629e1cb612e93c3605be1c2635894c66568d0f35668d0f35668d0f35668d0f35668d0f35668d0f35668d0f35668d0f35668d0f356,b0d6a82819b8c7a425685b0264596335632b6b3416596a37152c6e3125685b0225685b0225685b0225685b0225685b0225685b0225685b0225685b0225685b02
20,OUT,-414459141,20,41,254,179,fe6c007c5600092977d4f35677d4f35677d4f35677d4f35677d4f35677d4f35677d4f35677d4f356d0,b3d4a8281bb8a17d3a6c5b023a6c5b023a6c5b023a6c5b023a6c5b023a6c5b023a6c5b023a6c5b029d
21,OUT,974024771,21,8,255,178,ff7e007c56000b1a,b2c6a8281bb8a34e
22,OUT,1479342458,22,9,240,189,f04a007c56000b2cfc,bdf2a8281bb8a378b1
23,OUT,-2056694846,23,8,241,188,f18d007c56000a41,bc35a8281bb8a215
24,OUT,1781369070,24,17,242,191,f2af007c5600415fbdecf356bd1a0ca9d1,bf17a8281bb8e90bf0545b02f0a2a4fd9c
25,OUT,-1217912234,25,8,243,190,f33d007c5600426c,be85a8281bb8ea38
26,OUT,-716526737,26,8,244,185,f4f5007c56007683,b94da8281bb8ded7
27,OUT,135201239,27,12,245,184,f525007c5600419ffcf0f356,b89da8281bb8e9cbb1485b02
28,OUT,286243101,28,8,246,187,f6b7007c560077b4,bb0fa8281bb8dfe0
29,OUT,-867560539,29,8,247,186,f7ad007c56000cce,ba15a8281bb8a49a
30,OUT,-1368876388,30,8,232,165,e8d9007c56000ce9,a561a8281bb8a4bd
31,OUT,1932341284,31,9,233,164,e903007c57000904f9,a4bba8281ab8a150b4
32,OUT,-1574416706,32,8,234,167,ea20007c57003422,a798a8281ab89c76
33,OUT,2137908230,33,8,235,166,eb00007c57003140,a6b8a8281ab89914
34,OUT,491744575,34,8,236,161,ecc9007c5700325f,a171a8281ab89a0b
35,OUT,-1073035385,35,8,237,160,ed47007c5700317f,a0ffa8281ab8992b
36,OUT,-653623475,36,29,238,163,ee73007c570040b510ea0ba9ef1df456efeb0ba91015f456ef14f456a8,a3cba8281ab8e8e15d52a3fda2a55c02a253a3fd5dad5c02a2ac5c02e5
37,OUT,72340981,37,8,239,162,efe2007c570019c2,a25aa8281ab8b196
38,OUT,1718443212,38,27,224,173,e01c007c57004ff6311ef456fbe3278688ef41a1301ef456e557e3,ada4a8281ab8e7a27ca65c02b65b8fd2c557e9f57da65c02a8ef4b
