idx,dir,f12,seq,plen,b0,d0,enc,dec
1,OUT,-1471614835,1,8,0,77,000000000a000000,4db8a85447b8a854
2,OUT,-898991692,2,8,0,77,000000000c000000,4db8a85441b8a854
3,OUT,389010188,3,8,203,134,cbf0001c5500365a,8648a84818b89e0e
4,OUT,237988806,4,8,202,135,cade001c5500095b,8766a84818b8a10f
5,OUT,-747978370,5,31,201,132,c912001c5500584affefac55cedf9d7bcddd947bccdb8267ceefac555c5568,84aaa84818b8f01eb25704018367352f80653c2f81632a338357040111edc0
6,OUT,-1320662969,6,31,200,133,c82f001c5500587714f4ac5531c49d7b32c6947b33c0826731f4ac55605573,8597a84818b8f023594c04017c7c352f7f7e3c2f7e782a337c4c04012deddb
7,OUT,1812849407,7,31,55,122,372b001b550058732af8ac5533c89d7b30ca947b31cc826733f8ac5564557f,7a93a84f18b8f027674004017e70352f7d723c2f7c742a337e40040129edd7
8,OUT,-2092353069,8,31,54,123,3626001b5500587e39fcac5534cc9d7b37ce947b36c8826734fcac5569558c,7b9ea84f18b8f02a744404017974352f7a763c2f7b702a337944040124ed24
9,OUT,1577882475,9,31,53,120,3520001b550058785900ad5538309c7b3b32957b3a3483673800ad556f559a,7898a84f18b8f02c14b805017588342f768a3d2f778c2b3375b8050122ed32
10,OUT,1009654354,10,31,52,121,3439001b550058616a04ad553f349c7b3c36957b3d3083673f04ad557655a9,7981a84f18b8f03527bc0501728c342f718e3d2f70882b3372bc05013bed01
11,OUT,-513036054,11,31,51,126,3331001b550058696c08ad5525389c7b263a957b273c83672508ad557e55b9,7e89a84f18b8f03d21b005016880342f6b823d2f6a842b3368b0050133ed11
12,OUT,-127203296,12,31,50,127,32c8001b55005890970cad552a3c9c7b293e957b283883672a0cad558755ca,7f70a84f18b8f0c4dab405016784342f64863d2f65802b3367b40501caed62
13,OUT,623813272,13,31,49,124,31de001b550058868310ad5512209c7b1122957b102483671210ad559155dc,7c66a84f18b8f0d2cea805015f98342f5c9a3d2f5d9c2b335fa80501dced74
14,OUT,1191979937,14,31,48,125,30d3001b5500588b9814ad551d249c7b1e26957b1f2083671d14ad559c55ef,7d6ba84f18b8f0dfd5ac0501509c342f539e3d2f52982b3350ac0501d1ed47
15,OUT,-1706458855,15,31,63,114,3fe7001b550058bff018ad5507289c7b042a957b052c83670718ad55a85503,725fa84f18b8f0ebbda005014a90342f49923d2f48942b334aa00501e5edab
16,OUT,-1670780152,16,8,62,115,3e95001b55001bb5,732da84f18b8b3e1
17,OUT,1093419440,17,8,61,112,3de3001b55001bc3,705ba84f18b8b397
18,OUT,588171401,18,8,60,113,3cf2001b55001bd2,714aa84f18b8b386
19,OUT,-28614095,19,271,59,118,3b7b001b54006fe56828ad55291995622e6b9d635b199c60586c98666828ad556828ad556828ad556828ad556828ad556828ad556828ad556828ad556828ad55,76c3a84f19b8c7b12590050164a13d3663d3353716a1343415d43032259005012590050125900501259005012590050125900501259005012590050125900501
20,OUT,-414459141,20,41,58,119,3a97001b55000ad2772cad55772cad55772cad55772cad55772cad55772cad55772cad55772cad5589,772fa84f18b8a2863a9405013a9405013a9405013a9405013a9405013a9405013a9405013a940501c4
21,OUT,974024771,21,8,57,116,3961001b56000b05,74d9a84f1bb8a351
22,OUT,1479342458,22,9,56,117,387f001b56000b19b7,75c7a84f1bb8a34dfa
23,OUT,-2056694846,23,8,39,106,27e0001b56000a2c,6a58a84f1bb8a278
24,OUT,1781369070,24,17,38,107,26b8001b56004148bd34ad55bdc252aa18,6b00a84f1bb8e91cf08c0501f07afafe55
25,OUT,-1217912234,25,8,37,104,2506001b56004257,68bea84f1bb8ea03
26,OUT,-716526737,26,8,36,105,2418001b5600766e,69a0a84f1bb8de3a
27,OUT,135201239,27,12,35,110,2338001b56004182fc48ad55,6e80a84f1bb8e9d6b1f00501
28,OUT,286243101,28,8,34,111,229c001b5600779f,6f24a84f1bb8dfcb
29,OUT,-867560539,29,8,33,108,21da001b56000cb9,6c62a84f1bb8a4ed
30,OUT,-1368876388,30,8,32,109,20e4001b56000cd4,6d5ca84f1bb8a480
31,OUT,1932341284,31,9,47,98,2ff6001b560008f1b2,624ea84f1bb8a0a5ff
32,OUT,-1574416706,32,8,46,99,2e0f001b5700340d,63b7a84f1ab89c59
33,OUT,2137908230,33,8,45,96,2d6b001b5700312b,60d3a84f1ab8997f
34,OUT,491744575,34,8,44,97,2cdc001b5700324a,6164a84f1ab89a1e
35,OUT,-1073035385,35,8,43,102,2b52001b5700316a,66eaa84f1ab8993e
36,OUT,-653623475,36,29,42,103,2a58001b5700409e109252aaef65ad55ef9352aa106dad55ef6cad5561,67e0a84f1ab8e8ca5d2afafea2dd0501a22bfafe5dd50501a2d405012c
37,OUT,72340981,37,8,41,100,298d001b570019ad,6435a84f1ab8b1f9
