idx,dir,f12,seq,plen,b0,d0,enc,dec
1,OUT,-1471614835,1,8,0,77,000000000a000000,4db8a85447b8a854
2,OUT,-898991692,2,8,0,77,000000000c000000,4db8a85441b8a854
3,OUT,389010188,3,8,203,134,cbf3001c55003659,864ba84818b89e0d
4,OUT,237988806,4,8,202,135,cadf001c5500095a,8767a84818b8a10e
5,OUT,-747978370,5,31,201,132,c913001c5500584bffef9755cedfa67bcdddaf7bccdbb967ceef97555d5568,84aba84818b8f01fb2573f0183670e2f8065072f8163113383573f0110edc0
6,OUT,-1320662969,6,31,200,133,c810001c5500584814f4975531c4a67b32c6af7b33c0b96731f497555f5573,85a8a84818b8f01c594c3f017c7c0e2f7f7e072f7e7811337c4c3f0112eddb
7,OUT,1812849407,7,31,247,186,f72c001c550058742af8975533c8a67b30caaf7b31ccb96733f8975563557f,ba94a84818b8f02067403f017e700e2f7d72072f7c7411337e403f012eedd7
8,OUT,-2092353069,8,31,246,187,f627001c5500587f39fc975534cca67b37ceaf7b36c8b96734fc975568558c,bb9fa84818b8f02b74443f0179740e2f7a76072f7b70113379443f0125ed24
9,OUT,1577882475,9,31,245,184,f521001c55005879590098553830a97b3b32a07b3a34b667380098556e559a,b899a84818b8f02d14b830017588012f768a082f778c1e3375b8300123ed32
10,OUT,1009654354,10,31,244,185,f43a001c550058626a0498553f34a97b3c36a07b3d30b6673f0498557555a9,b982a84818b8f03627bc3001728c012f718e082f70881e3372bc300138ed01
11,OUT,-513036054,11,31,243,190,f332001c5500586a6c0898552538a97b263aa07b273cb667250898557d55b9,be8aa84818b8f03e21b030016880012f6b82082f6a841e3368b0300130ed11
12,OUT,-127203296,12,31,242,191,f2c9001c55005891970c98552a3ca97b293ea07b2838b6672a0c98558655ca,bf71a84818b8f0c5dab430016784012f6486082f65801e3367b43001cbed62
13,OUT,623813272,13,31,241,188,f1df001c55005887831098551220a97b1122a07b1024b667121098559055dc,bc67a84818b8f0d3cea830015f98012f5c9a082f5d9c1e335fa83001dded74
14,OUT,1191979937,14,31,240,189,f0d4001c5500588c981498551d24a97b1e26a07b1f20b6671d1498559b55ef,bd6ca84818b8f0d8d5ac3001509c012f539e082f52981e3350ac3001d6ed47
15,OUT,-1706458855,15,31,255,178,ffe8001c550058b0f01898550728a97b042aa07b052cb66707189855a75503,b250a84818b8f0e4bda030014a90012f4992082f48941e334aa03001eaedab
16,OUT,-1670780152,16,8,254,179,fe94001c55001bb4,b32ca84818b8b3e0
17,OUT,1093419440,17,271,253,176,fd5b001c54006fc54d2098550c11a0620b63a8637e11a9607d64ad664d2098554d2098554d2098554d2098554d2098554d2098554d2098554d2098554d209855,b0e3a84819b8c7910098300141a9083646db003733a9013430dc0532009830010098300100983001009830010098300100983001009830010098300100983001
18,OUT,588171401,18,41,252,177,fcb5001c55000af05a2498555a2498555a2498555a2498555a2498555a2498555a2498555a2498554b,b10da84818b8a2a4179c3001179c3001179c3001179c3001179c3001179c3001179c3001179c300106
19,OUT,-28614095,19,8,251,182,fb85001c550008e1,b63da84818b8a0b5
20,OUT,-414459141,20,9,250,183,fa95001c550008f375,b72da84818b8a0a738
21,OUT,974024771,21,8,249,180,f9c8001c56000a04,b470a8481bb8a250
22,OUT,1479342458,22,17,248,181,f8ee001c5600411e983c985598ca67aa5e,b556a8481bb8e94ad5843001d572cffe13
23,OUT,-2056694846,23,8,231,170,e77a001c5600422b,aac2a8481bb8ea7f
24,OUT,1781369070,24,8,230,171,e636001c56007640,ab8ea8481bb8de14
25,OUT,-1217912234,25,12,229,168,e5e8001c56004152d1409855,a850a8481bb8e9069cf83001
26,OUT,-716526737,26,8,228,169,e46e001c5600776d,a9d6a8481bb8df39
27,OUT,135201239,27,8,227,174,e3e6001c56000c85,ae5ea8481bb8a4d1
28,OUT,286243101,28,8,226,175,e2ae001c56000c9e,af16a8481bb8a4ca
29,OUT,-867560539,29,9,225,172,e1be001c560008b95e,ac06a8481bb8a0ed13
30,OUT,-1368876388,30,8,224,173,e0d1001c560035d3,ad69a8481bb89d87
31,OUT,1932341284,31,8,239,162,efaf001c560030ef,a217a8481bb898bb
32,OUT,-1574416706,32,8,238,163,ee9a001c5700320c,a322a8481ab89a58
33,OUT,2137908230,33,8,237,160,ed12001c5700312a,a0aaa8481ab8997e
34,OUT,491744575,34,29,236,161,ec9a001c5700405c4d9a67aab26d9855b29b67aa4d659855b264985503,a122a8481ab8e8080022cffeffd53001ff23cffe00dd3001ffdc30014e
35,OUT,-1073035385,35,8,235,166,eb49001c57001969,a6f1a8481ab8b13d
36,OUT,-653623475,36,27,234,167,ea73001c57004f99ee6d985524904b85579c2da2ef6d98558a578e,a7cba8481ab8e7cda3d530016928e3d11a2485f6a2d53001c7ef26
