idx,dir,f12,seq,plen,b0,d0,enc,dec
1,OUT,-1471614835,1,8,0,77,000000000a000000,4db8a85447b8a854
2,OUT,-898991692,2,8,0,77,000000000c000000,4db8a85441b8a854
3,OUT,389010188,3,8,51,126,33ef002c55003645,7e57a87818b89e11
4,OUT,237988806,4,8,50,127,32c3002c55000946,7f7ba87818b8a112
5,OUT,-747978370,5,31,49,124,3107002c5500585fffcf5054ceff617acdfd687accfb7e66cecf5054495568,7cbfa87818b8f00bb277f8008347c92e8045c02e8143d6328377f80004edc0
6,OUT,-1320662969,6,89,48,125,305e002c55000b1a01d4505401d5515500d5525500ac505400d4505400d4505400d4505400d4505400d4505400d4505400d4505400d4505400d4505400d45054,7de6a87818b8a34e4c6cf8004c6df9014d6dfa014d14f8004d6cf8004d6cf8004d6cf8004d6cf8004d6cf8004d6cf8004d6cf8004d6cf8004d6cf8004d6cf800
7,OUT,1812849407,7,31,55,122,3700002c5500585816d8505433e8617a30ea687a31ec7e6633d850544f557f,7ab8a87818b8f00c5b60f8007e50c92e7d52c02e7c54d6327e60f80002edd7
8,OUT,-2092353069,8,31,54,123,361b002c550058432ddc505434ec617a37ee687a36e87e6634dc505454558c,7ba3a87818b8f0176064f8007954c92e7a56c02e7b50d6327964f80019ed24
9,OUT,1577882475,9,31,53,120,3515002c5500584d35e0505438d0617a3bd2687a3ad47e6638e050545a559a,78ada87818b8f0197858f8007568c92e766ac02e776cd6327558f80017ed32
10,OUT,1009654354,10,31,52,121,342e002c550058765ee450543fd4617a3cd6687a3dd07e663fe450546155a9,7996a87818b8f022135cf800726cc92e716ec02e7068d632725cf8002ced01
11,OUT,-513036054,11,31,59,118,3b26002c5500587e70e8505425d8617a26da687a27dc7e6625e850546955b9,769ea87818b8f02a3d50f8006860c92e6b62c02e6a64d6326850f80024ed11
12,OUT,-127203296,12,31,58,119,3a3d002c5500586563ec50542adc617a29de687a28d87e662aec50547255ca,7785a87818b8f0312e54f8006764c92e6466c02e6560d6326754f8003fed62
13,OUT,623813272,13,31,57,116,3933002c5500586baff0505412c0617a11c2687a10c47e6612f050547c55dc,748ba87818b8f03fe248f8005f78c92e5c7ac02e5d7cd6325f48f80031ed74
14,OUT,1191979937,14,31,56,117,38c8002c550058908cf450541dc4617a1ec6687a1fc07e661df450548755ef,7570a87818b8f0c4c14cf800507cc92e537ec02e5278d632504cf800caed47
15,OUT,-1706458855,15,31,63,114,3fdc002c5500588482f8505407c8617a04ca687a05cc7e6607f85054935503,7264a87818b8f0d0cf40f8004a70c92e4972c02e4874d6324a40f800deedab
16,OUT,-1670780152,16,31,62,115,3eef002c550058b787fc505470cc617a73ce687a72c87e6670fc5054a05518,7357a87818b8f0e3ca44f8003d74c92e3e76c02e3f70d6323d44f800ededb0
17,OUT,1093419440,17,8,61,112,3d8e002c55001bae,7036a87818b8b3fa
18,OUT,588171401,18,8,60,113,3c9d002c55001bbd,7125a87818b8b3e9
19,OUT,-28614095,19,8,35,110,23ed002c55001bcd,6e55a87818b8b399
20,OUT,-414459141,20,8,34,111,22fe002c55001bde,6f46a87818b8b38a
21,OUT,974024771,21,8,33,108,21d0002c55001bf0,6c68a87818b8b3a4
22,OUT,1479342458,22,8,32,109,2023002c56001803,6d9ba8781bb8b057
23,OUT,-2056694846,23,8,39,106,2737002c56001817,6a8fa8781bb8b043
24,OUT,1781369070,24,271,38,107,26b5002c57006c2bbd1c5154fc2d6963fb5f61628e2d60618d586467bd1c5154bd1c5154bd1c5154bd1c5154bd1c5154bd1c5154bd1c5154bd1c5154bd1c5154,6b0da8781ab8c47ff0a4f900b195c137b6e7c936c395c835c0e0cc33f0a4f900f0a4f900f0a4f900f0a4f900f0a4f900f0a4f900f0a4f900f0a4f900f0a4f900
25,OUT,-1217912234,25,41,37,104,2526002c56000963d1205154d1205154d1205154d1205154d1205154d1205154d1205154d1205154a5,689ea8781bb8a1379c98f9009c98f9009c98f9009c98f9009c98f9009c98f9009c98f9009c98f900e8
26,OUT,-716526737,26,8,36,105,243d002c56000b59,6985a8781bb8a30d
27,OUT,135201239,27,9,43,102,2b16002c56000b70dd,66aea8781bb8a32490
28,OUT,286243101,28,8,42,103,2a46002c56000a8a,67fea8781bb8a2de
29,OUT,-867560539,29,17,41,100,295d002c560041ad2b3951542bcfaeabe8,64e5a8781bb8e9f96681f900667706ffa5
30,OUT,-1368876388,30,8,40,101,28ee002c560042bf,6556a8781bb8eaeb
31,OUT,1932341284,31,8,47,98,2fad002c560076db,6215a8781bb8de8f
32,OUT,-1574416706,32,12,46,99,2e46002c560041fc793d5154,63fea8781bb8e9a83485f900
33,OUT,2137908230,33,8,45,96,2d15002c57007616,60ada8781ab8de42
34,OUT,491744575,34,8,44,97,2c56002c57000d35,61eea8781ab8a561
