idx,dir,f12,seq,plen,b0,d0,enc,dec
1,OUT,-1471614835,1,8,0,77,000000000a000000,4db8a85447b8a854
2,OUT,-898991692,2,8,0,77,000000000c000000,4db8a85441b8a854
3,OUT,389010188,3,8,205,128,cdf5001c5500365f,804da84818b89e0b
4,OUT,237988806,4,8,202,135,cae5001c55000960,875da84818b8a134
5,OUT,-747978370,5,31,203,134,cb2d001c55005875ffe7f155ced7c07bcdd5c97bccd3df67cee7f155635568,8695a84818b8f021b25f5901836f682f806d612f816b7733835f59012eedc0
6,OUT,-1320662969,6,31,200,133,c82a001c5500587214ecf15531dcc07b32dec97b33d8df6731ecf155655573,8592a84818b8f026595459017c64682f7f66612f7e6077337c54590128eddb
7,OUT,1812849407,7,31,201,132,c926001c5500587e2af0f15533c0c07b30c2c97b31c4df6733f0f15569557f,849ea84818b8f02a674859017e78682f7d7a612f7c7c77337e48590124edd7
8,OUT,-2092353069,8,31,246,187,f621001c5500587939f4f15534c4c07b37c6c97b36c0df6734f4f1556e558c,bb99a84818b8f02d744c5901797c682f7a7e612f7b787733794c590123ed24
9,OUT,1577882475,9,31,247,186,f73b001c5500586359f8f15538c8c07b3bcac97b3accdf6738f8f15574559a,ba83a84818b8f037144059017570682f7672612f777477337540590139ed32
10,OUT,1009654354,10,31,244,185,f434001c5500586c6afcf1553fccc07b3ccec97b3dc8df673ffcf1557b55a9,b98ca84818b8f038274459017274682f7176612f707077337244590136ed01
11,OUT,-513036054,11,31,245,184,f5cc001c550058946c00f2552530c37b2632ca7b2734dc672500f2558355b9,b874a84818b8f0c021b85a0168886b2f6b8a622f6a8c743368b85a01ceed11
12,OUT,-127203296,12,31,242,191,f2c3001c5500589b9704f2552a34c37b2936ca7b2830dc672a04f2558c55ca,bf7ba84818b8f0cfdabc5a01678c6b2f648e622f6588743367bc5a01c1ed62
13,OUT,623813272,13,31,243,190,f3d9001c550058818308f2551238c37b113aca7b103cdc671208f2559655dc,be61a84818b8f0d5ceb05a015f806b2f5c82622f5d8474335fb05a01dbed74
14,OUT,1191979937,14,31,240,189,f0ee001c550058b6980cf2551d3cc37b1e3eca7b1f38dc671d0cf255a155ef,bd56a84818b8f0e2d5b45a0150846b2f5386622f5280743350b45a01eced47
15,OUT,-1706458855,15,31,241,188,f1e2001c550058baf010f2550720c37b0422ca7b0524dc670710f255ad5503,bc5aa84818b8f0eebda85a014a986b2f499a622f489c74334aa85a01e0edab
16,OUT,-1670780152,16,8,254,179,fe9a001c55001bba,b322a84818b8b3ee
17,OUT,1093419440,17,271,255,178,ff51001c54006fcf4d18f2550c29ca620b5bc2637e29c3607d5cc7664d18f2554d18f2554d18f2554d18f2554d18f2554d18f2554d18f2554d18f2554d18f255,b2e9a84819b8c79b00a05a014191623646e36a3733916b3430e46f3200a05a0100a05a0100a05a0100a05a0100a05a0100a05a0100a05a0100a05a0100a05a01
18,OUT,588171401,18,41,252,177,fcb3001c55000af65a1cf2555a1cf2555a1cf2555a1cf2555a1cf2555a1cf2555a1cf2555a1cf255a5,b10ba84818b8a2a217a45a0117a45a0117a45a0117a45a0117a45a0117a45a0117a45a0117a45a01e8
19,OUT,-28614095,19,8,253,176,fd83001c550008e7,b03ba84818b8a0b3
20,OUT,-414459141,20,9,250,183,fa9f001c550008f9cf,b727a84818b8a0ad82
21,OUT,974024771,21,8,251,182,fbc6001c56000a0a,b67ea8481bb8a25e
22,OUT,1479342458,22,17,248,181,f8e4001c560041149824f25598d20daa04,b55ca8481bb8e940d59c5a01d56aa5fe49
23,OUT,-2056694846,23,8,249,180,f960001c56004231,b4d8a8481bb8ea65
24,OUT,1781369070,24,8,230,171,e630001c56007646,ab88a8481bb8de12
25,OUT,-1217912234,25,12,231,170,e7e2001c56004158d138f255,aa5aa8481bb8e90c9c805a01
26,OUT,-716526737,26,8,228,169,e470001c56007773,a9c8a8481bb8df27
27,OUT,135201239,27,8,229,168,e5e8001c56000c8b,a850a8481bb8a4df
28,OUT,286243101,28,8,226,175,e294001c56000ca4,af2ca8481bb8a4f0
29,OUT,-867560539,29,9,227,174,e3b8001c560008bfb8,ae00a8481bb8a0ebf5
30,OUT,-1368876388,30,8,224,173,e0db001c560035d9,ad63a8481bb89d8d
31,OUT,1932341284,31,8,225,172,e1b5001c560030f5,ac0da8481bb898a1
32,OUT,-1574416706,32,8,238,163,ee84001c57003212,a33ca8481ab89a46
33,OUT,2137908230,33,8,239,162,ef08001c57003130,a2b0a8481ab89964
34,OUT,491744575,34,29,236,161,ec9c001c5700405a4da20daab255f255b2a30daa4d5df255b25cf2555d,a124a8481ab8e80e001aa5feffed5a01ff1ba5fe00e55a01ffe45a0110
35,OUT,-1073035385,35,8,237,160,ed4f001c5700196f,a0f7a8481ab8b13b
