idx,dir,f12,seq,plen,b0,d0,enc,dec
1,OUT,-1471614835,1,8,0,77,000000000a000000,4db8a85447b8a854
2,OUT,-898991692,2,8,0,77,000000000c000000,4db8a85441b8a854
3,OUT,389010188,3,8,203,134,cbf4001c5500365e,864ca84818b89e0a
4,OUT,237988806,4,8,202,135,cada001c5500095f,8762a84818b8a10b
5,OUT,-747978370,5,31,201,132,c92e001c55005876ffafe155ce9fd07bcd9dd97bcc9bcf67ceafe155605568,8496a84818b8f022b21749018327782f8025712f81236733831749012dedc0
6,OUT,-1320662969,6,31,200,133,c82b001c5500587314b4e1553184d07b3286d97b3380cf6731b4e155645573,8593a84818b8f027590c49017c3c782f7f3e712f7e3867337c0c490129eddb
7,OUT,1812849407,7,31,199,138,c727001c5500587f2ab8e1553388d07b308ad97b318ccf6733b8e15568557f,8a9fa84818b8f02b670049017e30782f7d32712f7c3467337e00490125edd7
8,OUT,-2092353069,8,31,198,139,c622001c5500587a39bce155348cd07b378ed97b3688cf6734bce1556d558c,8b9aa84818b8f02e740449017934782f7a36712f7b3067337904490120ed24
9,OUT,1577882475,9,31,197,136,c53c001c5500586459c0e15538f0d07b3bf2d97b3af4cf6738c0e15573559a,8884a84818b8f030147849017548782f764a712f774c6733757849013eed32
10,OUT,1009654354,10,31,196,137,c435001c5500586d6ac4e1553ff4d07b3cf6d97b3df0cf673fc4e1557a55a9,898da84818b8f039277c4901724c782f714e712f70486733727c490137ed01
11,OUT,-513036054,11,31,195,142,c3cd001c550058956cc8e15525f8d07b26fad97b27fccf6725c8e1558255b9,8e75a84818b8f0c1217049016840782f6b42712f6a44673368704901cfed11
12,OUT,-127203296,12,31,194,143,c2c4001c5500589c97cce1552afcd07b29fed97b28f8cf672acce1558b55ca,8f7ca84818b8f0c8da7449016744782f6446712f6540673367744901c6ed62
13,OUT,623813272,13,31,193,140,c1da001c5500588283d0e15512e0d07b11e2d97b10e4cf6712d0e1559555dc,8c62a84818b8f0d6ce6849015f58782f5c5a712f5d5c67335f684901d8ed74
14,OUT,1191979937,14,31,192,141,c0ef001c550058b798d4e1551de4d07b1ee6d97b1fe0cf671dd4e155a055ef,8d57a84818b8f0e3d56c4901505c782f535e712f52586733506c4901eded47
15,OUT,-1706458855,15,31,255,178,ffe3001c550058bbf0d8e15507e8d07b04ead97b05eccf6707d8e155ac5503,b25ba84818b8f0efbd6049014a50782f4952712f485467334a604901e1edab
16,OUT,-1670780152,16,8,254,179,fe99001c55001bb9,b321a84818b8b3ed
17,OUT,1093419440,17,8,253,176,fde7001c55001bc7,b05fa84818b8b393
18,OUT,588171401,18,271,252,177,fc4f001c54006fd15ae4e1551bd5d9621ca7d16369d5d0606aa0d4665ae4e1555ae4e1555ae4e1555ae4e1555ae4e1555ae4e1555ae4e1555ae4e1555ae4e155,b1f7a84819b8c785175c4901566d7136511f7937246d783427187c32175c4901175c4901175c4901175c4901175c4901175c4901175c4901175c4901175c4901
19,OUT,-28614095,19,41,251,182,fb82001c55000ac768e8e15568e8e15568e8e15568e8e15568e8e15568e8e15568e8e15568e8e155a9,b63aa84818b8a2932550490125504901255049012550490125504901255049012550490125504901e4
20,OUT,-414459141,20,8,250,183,fa93001c550008f7,b72ba84818b8a0a3
21,OUT,974024771,21,9,249,180,f96e001c56000b08d5,b4d6a8481bb8a35c98
22,OUT,1479342458,22,8,248,181,f8d0001c56000a1c,b568a8481bb8a248
23,OUT,-2056694846,23,17,247,186,f7c9001c56004139aaf0e155aa061eaafc,ba71a8481bb8e96de7484901e7beb6feb1
24,OUT,1781369070,24,8,246,187,f614001c56004245,bbaca8481bb8ea11
25,OUT,-1217912234,25,8,245,184,f52d001c5600765b,b895a8481bb8de0f
26,OUT,-716526737,26,12,244,185,f4cc001c56004176e604e255,b974a8481bb8e922abbc4a01
27,OUT,135201239,27,8,243,190,f389001c5600778a,be31a8481bb8dfde
28,OUT,286243101,28,8,242,191,f2c0001c56000ca3,bf78a8481bb8a4f7
29,OUT,-867560539,29,8,241,188,f18d001c56000cbd,bc35a8481bb8a4e9
30,OUT,-1368876388,30,9,240,189,f0de001c560008d9c7,bd66a8481bb8a08d8a
31,OUT,1932341284,31,8,239,162,eff6001c560035f4,a24ea8481bb89da0
32,OUT,-1574416706,32,8,238,163,ee51001c57003111,a3e9a8481ab89945
33,OUT,2137908230,33,8,237,160,edb9001c5700322f,a001a8481ab89a7b
34,OUT,491744575,34,8,236,161,ec76001c5700314e,a1cea8481ab8991a
35,OUT,-1073035385,35,29,235,166,ebbd001c5700407b2fd61daad021e255d0d71daa2f29e255d028e25571,a605a8481ab8e82f626eb5fe9d994a019d6fb5fe62914a019d904a013c
36,OUT,-653623475,36,8,234,167,eaaf001c5700198f,a717a8481ab8b1db
