ItemCode	DescID	Comment
51412671	1	[街头篮球旗舰店] 选择1个能力值+1\n我是小小蘑菇人★
51611861	1	[街头篮球旗舰店] 选择1个能力值+1\n公主殿下的可爱宠物龙
51110611	1	[街头篮球旗舰店] 选择1个能力值+1\n感受下雷盖的灵魂吧！
51412691	1	[街头篮球旗舰店] 选择1个能力值+1\n犹如黑天使降临！
51110631	1	[街头篮球旗舰店] 选择1个能力值+1\n你周围漂浮的东西是什么？
50911051	2	经过改良的2代战力测量器，战力测量更准确！\n 选择1个能力值+1
51310851	2	感受下指环带给你的力量吧！ \n 选择1个能力值+1
51310741	1	[街头篮球旗舰店] 选择1个能力值+1\n白色喵咪手套
51110441	1	[街头篮球旗舰店] 选择1个能力值+1\n紫色毛皮披肩
51110451	1	[街头篮球旗舰店] 选择1个能力值+1\n蓝色围脖
51411871	1	[街头篮球旗舰店] 选择1个能力值+1\n这就是龙之披风！
50910931	1	[街头篮球旗舰店] 选择1个能力值+1\n红眼獠牙的机械恐龙！
51412601	1	选择1个能力值+1\n一口让你大饱口福
50413521	1	[街头篮球旗舰店] 新品长款上衣
50512291	1	[街头篮球旗舰店] 蓝色开槽训练裤
50612431	1	[街头篮球旗舰店] 黑色兵法战靴
50612441	1	[街头篮球旗舰店] 条纹战靴
50910991	1	[街头篮球旗舰店] 选择1个能力值+1\n你的战力实在是太低了！
50612751	1	[街头篮球旗舰店] 真的能在天上跑！
51110491	1	[街头篮球旗舰店] 选择1个能力值+1\n高贵的毛皮披肩
52118771	1	[街头篮球旗舰店] 前后甩起来~
52118781	1	[街头篮球旗舰店] 如同舞神附体
52118611	1	[街头篮球旗舰店] 上上下下，嘿哈嘿哈！
52118621	1	[街头篮球旗舰店] 我跳，我跳，来打我呀！
52116851	1	[街头篮球旗舰店] 友情之舞
52116861	1	[街头篮球旗舰店] 上上下下！
52116871	1	[街头篮球旗舰店] ^—^
50115691	1	选择2个能力+1\n既能遮太阳又很时尚的帽子
50211691	1	[街头篮球旗舰店] 真正的潮流时装！
50612911	1	[街头篮球旗舰店] 百搭潮流鞋，尽显时尚个性！
51412611	1	[街头篮球旗舰店] 选择1个能力值+1\n不会轻易被笛子操控的两条蛇！
51411921	1	[街头篮球旗舰店] 选择1个能力值+1\n特殊夏天的特殊道具！\n赶紧收集糖果碎片吧~！
50413531	1	[街头篮球旗舰店] 绿色雨衣
50810641	1	[街头篮球旗舰店] 选择1个能力值+1\n头上的信号灯
52118741	1	[街头篮球旗舰店] 装备5件套时选择3个能力值+1\n投篮&盖帽成功率+2%\n胜利时积分+100%
52120141	1	[街头篮球旗舰店] 装备5件套时选择3个能力值+1\n投篮&盖帽成功率+2%\n胜利时积分+100%
52120151	1	[街头篮球旗舰店] 装备5件套时选择3个能力值+1\n投篮&盖帽成功率+2%\n胜利时积分+100%
52120161	1	[街头篮球旗舰店] 装备5件套时选择3个能力值+1\n投篮&盖帽成功率+2%\n胜利时积分+100%
52120171	1	[街头篮球旗舰店] 装备5件套时选择3个能力值+1\n投篮&盖帽成功率+2%\n胜利时积分+100%
52120181	1	[街头篮球旗舰店] 装备5件套时选择3个能力值+1\n投篮&盖帽成功率+2%\n胜利时积分+100%
52120191	1	[街头篮球旗舰店] 装备5件套时选择3个能力值+1\n投篮&盖帽成功率+2%\n胜利时积分+100%
50116111	1	选择2个能力值+1\n个性十足的发型
50116121	1	选择2个能力值+1\n以前流行过的发型
51412791	1	选择2个能力值+1\n可爱的海豚背包
51412801	1	选择2个能力值+1\n空间足够大的休闲背包
50910811	1	选择1个能力值+3\n富裕的象征！
51310661	1	选择1个能力值+1\n蓝色火焰
2812032	1	选择1个能力值+1\n可爱的三瓣翅
81210211	1	选择1个能力值+1\n看不出到底是老虎宝宝还是可爱的小猫咪 
51412901	1	选择2个能力值+1\n在滑雪场一较高下吧！ 
80111691	1	选择1个能力值+3
81110111	1	选择1个能力值+1
80910441	1	选择1个能力值+3
51611881	1	选择1个能力值+2
80910441	2	"很雷人的一副大墨镜,可以遮住自己半张脸"
80111691	2	好亮 好闪 睁不开眼咯
2116241	1	选择1个能力值+1 \n 仔细数下有多少顶帽子··
51412621	1	感受下红色光芒下的天使气息吧！\n选择2个能力值+1
51412691	2	选择2个能力值+1\n犹如黑天使降临！ 
50114611	1	头顶上的好友\n选择1个能力值+1
51310651	1	选择1个能力值+1\n我手中的雷电 
50910821	1	选择1个能力值+1\n棕色护目镜 
51310671	1	粉红爱心戒\n选择1个能力值+3
51310671	2	粉红爱心戒\n选择1个能力值+1
51310671	3	选择1个能力值+2\n粉红爱心戒
51510861	1	选择2个能力值+2\n盘绕在腿上的青龙气息
51510871	1	选择2个能力值+2\n盘绕在腿上的朱雀气息 
50116501	1	在强风里也不能乱了发型！\n选择1个能力值+1
50116511	1	嘘！不能让人看到我！\n选择1个能力值+1
51412961	1	闪闪发亮的神秘黑翅膀\n选择2个能力值+2
51412971	1	闪闪发亮的神秘篮翅膀\n选择2个能力值+2
50313011	1	修炼者们穿的白衣长袍 修炼者们穿的白衣长袍\n所有能力+2
50911241	1	即使挡住脸部也能露出表情的面罩\n选择2个能力值+1
50911251	1	23世纪流行面罩\n选择2个能力值+1
51611931	1	在空中观察地面很实用的无人机\n选择1个能力值+3
51611941	1	伪装成篮球的无人机\n选择1个能力值+3
50313011	2	修炼者们穿的白衣长袍\n所有能力+2\n获得"修炼顶点"荣誉（成就分数：200）
50313021	1	特殊套装效果：所有能力+1\n能力道具\n这是猫还是兔子？
51010411	1	掩盖了我的本来面目 \n 选择1个能力值+3
51510881	1	选择2个能力值+2\n很忙的小兔子！
50116561	1	人气满满，猫耳朵耳机！\n 选择2个能力值+2
81110031	1	和平的象征！\n 选择1个能力值+1
51412491	1	开心棒棒糖会陪您过白色情人节~ \n 选择1个能力值+1
51010401	1	选择1个能力值+1\n红光内灿烂的十字！
81610063	1	可爱装饰#2 \n 选择1个能力值+1
51110531	1	选择1个能力值+1\n犹如时尚界里的恶魔！
51611721	1	选择1个能力值+1\n圆圆的~可爱的~国宝熊猫~
81010181	1	选择1个能力值+1\n卍字口罩
50116071	1	选择1个能力值+2\n时髦摩托骑手头盔
52120181	2	装备5件套时选择3个能力值+1\n投篮&盖帽成功率+2%\n胜利时积分+100%
